Placette,Sousplacette,CoordonneeX,CoordonneeY,Pente,Exposition2,Exposition,Altitude,Topo,Date ,Heure ,Roche,Litière,Mousses,SolNu,Rherbacé,Rarbustif,Rarboré,Hherbacé,Harbustif,Harboré
P1,SP1,45.59626,4.74432,11,N,350,267,HDP,25/04,09:20,0,100,0,0,30,60,40,0.15,1,12.5
P1,SP2,45.59638,4.74356,16,N,330,268,HDP,25/04,09:30,0,60,1,0,45,35,80,0.1,2,13
P2,SP1,45.5990546,4.7433663,33,N,300,230,MDP,25/04,14:00,0,98,2,0,50,25,50,0.15,1,20
P2,SP2,45.5994907,4.7437579,30,N,310,230,MDP,25/04,12:54,0,98,1,1,15,70,25,0.1,5,5
P3,SP1,45.601699,4.7434273,15,N,325,200,BDP,25/04,16:06,0,65,0,35,50,40,50,0.15,0.8,20
P3,SP2,45.6014539,4.7426186,3,N,20,200,BDP,25/04,15:24,0,70,0,30,5,100,20,0.07,1,18
P4,SP1,45.6018,4.7428,18,S,180,200,BDP,26/04,15:00,0,60,1,39,90,10,60,0.3,1,15
P4,SP2,45.602,4.744,4,S,180,213,BDP,26/04,14:13,0,80,1,15,90,2,40,0.2,1,15
P5,SP1,45.6015,4.7388,36,S,175,250,MDP,26/04,12:31,6,90,1,2,70,25,20,0.15,1,9
P5,SP2,45.6017,4.7384,43,S,238,230,MDP,26/04,11:20,5,80,2,2,70,60,30,0.25,4,10
P6,SP1,45.6025484,4.7399924,46,S,170,270,HDP,26/04,10:11,0,98,1,1,10,85,25,0.1,1.5,10
P6,SP2,45.6026,4.7406,33,S,160,270,HDP,26/04,09:30,0,98,1,1,10,80,30,0.1,1,9
P7,SP1,45.6089647,4.7510752,53,N,335,250,HDP,27/04,11:25,0,87,1,2,95,30,60,0.5,0.7,17
P7,SP2,45.6085415,4.7519098,58,N,18,250,HDP,27/04,10:51,0,98,1,1,80,50,50,0.5,3,17
P8,SP1,45.6083113,4.7546148,54,N,30,220,MDP,27/04,08:58,0,95,0,1,80,30,50,0.35,1.3,15
P8,SP2,45.6083612,4.7541387,40,N,47,230,MDP,27/04,09:23,0,97,2,1,65,65,60,0.4,1.2,17
P9,SP1,45.6099875,4.7533106,28,S,165,200,BDP,27/04,15:30,0,98,1,1,80,39,60,0.25,3,20
P9,SP2,45.6099,4.7525,70,S,160,200,BDP,27/04,14:54,0,50,0,50,40,20,50,0.35,2,17
P10,SP1,45.6093,4.7541,15,N,61,210,BDP,27/04,14:03,0,60,10,30,50,20,70,0.15,1,25
P10,SP2,45.61,4.7533,37,N,50,190,BDP,27/04,13:11,7,50,10,30,70,30,50,0.15,2.5,15
P11,SP1,45.6109,4.7539,43,S,205,220,MDP,27/04,16:16,5,90,2,2,90,20,40,0.25,1,9
P11,SP2,45.6109,4.7548,40,S,220,270,MDP,28/04,08:51,0,90,5,2,80,35,40,0.15,1.5,8
P12,SP1,45.613,4.758,4,N,100,250,HDP,28/04,10:30,5,94,1,0,40,30,70,0.2,1,13
P12,SP2,45.613,4.758,4,N,68,250,HDP,28/04,10:13,3,97,0,0,30,40,60,0.3,1,12
P14,SP1,45.5956,4.7345,48,N,0,260,MDP,28/04,15:11,0,98,1,1,40,5,60,0.15,1.5,17
P14,SP2,45.5959,4.7355,57,N,329,260,MDP,28/04,14:37,0,90,5,5,5,3,70,0.1,1,15
P16,SP1,45.5963676,4.7343433,35,S,130,230,BDP,26/04,16:10,0,75,20,5,35,50,25,0.2,0.8,15
P16,SP2,45.596794,4.7348774,50,S,165,230,BDP,28/04,15:48,0,60,10,30,20,40,60,0.3,2,15
P17,SP1,45.5964,4.733,55,S,150,250,MDP,28/04,13:35,2,83,10,5,50,5,40,0.15,0.7,10
P17,SP2,45.5962,4.7322,50,S,130,250,MDP,28/04,12:56,2,83,15,0,50,40,40,0.15,1,9
