JOUR,ID_CHANT,DIFFUSION,ID_MALE,NUMERO,DUREE,DUREE_SIF
1,743,FTNsif,1,1,2.2,1
1,743,FTNsif,1,2,3.3,2.6
1,759,TN,2,1,2.4,2.4
1,828,FJ,5,1,4.9,4.9
1,828,FJ,5,2,2.6,0
1,828,FJ,5,3,3,1.5
1,840,FTNsif,6,1,3.4,1.1
1,840,FTNsif,6,2,4.95,1.29
1,840,FTNsif,6,3,3.35,0.95
1,840,FTNsif,6,4,5.15,2.01
1,840,FTNsif,6,5,2.26,1
1,900,FJ,1,1,1.92,0.49
1,900,FJ,1,2,4.03,2.43
1,900,FJ,1,3,4.31,1.72
1,900,FJ,1,4,3.77,0.9
1,917,FTNsif,3,1,1.8,1.8
1,917,FTNsif,3,2,2.5,1.4
1,917,FTNsif,3,3,1.2,1.2
1,917,FTNsif,3,4,2.3,1.9
1,917,FTNsif,3,5,2.3,0.7
1,917,FTNsif,3,6,2,0.5
1,917,FTNsif,3,7,1,0.2
1,917,FTNsif,3,8,3,1.5
1,926,FTNgaz,4,1,1.65,0
1,937,FTNsif,5,1,2.46,1.07
1,937,FTNsif,5,2,0.73,0.73
1,937,FTNsif,5,3,2.35,2.35
1,937,FTNsif,5,4,1.86,0.63
1,937,FTNsif,5,5,2.94,0.51
1,937,FTNsif,5,6,2.65,0.59
1,937,FTNsif,5,7,2.3,2.3
1,1005,FTNgaz,1,1,4.64,1.26
1,1005,FTNgaz,1,2,3.83,3.83
1,1005,FTNgaz,1,3,3.56,3.56
1,1005,FTNgaz,1,4,3.03,3.03
1,1005,FTNgaz,1,5,3.53,0
1,1005,FTNgaz,1,6,2.97,2.97
1,1005,FTNgaz,1,7,3.93,3.93
1,1005,FTNgaz,1,8,3.79,3.79
1,1017,FTNcomp,2,1,1.45,0.35
1,1025,FTNgaz,3,1,1.19,1.19
1,1025,FTNgaz,3,2,2.82,0.73
1,1025,FTNgaz,3,3,1.63,1.63
1,1025,FTNgaz,3,4,1.79,0.92
1,1025,FTNgaz,3,5,2.19,0
1,1025,FTNgaz,3,6,3.8,1.38
1,1025,FTNgaz,3,7,0.95,0.95
1,1113,TN,1,1,3,1.3
1,1113,TN,1,2,3.9,0.2
1,1113,TN,1,3,1.8,0
1,1113,TN,1,4,3.6,0
1,1124,FTNgaz,2,1,0.56,0
1,1131,FTNcomp,3,1,3.2,1.47
1,1131,FTNcomp,3,2,5.77,2.46
1,1131,FTNcomp,3,3,5.17,1.39
1,1131,FTNcomp,3,4,2.5,0.8
1,1131,FTNcomp,3,5,2.94,0.65
1,1131,FTNcomp,3,6,1.66,0.65
1,1131,FTNcomp,3,7,6.4,3.37
1,1131,FTNcomp,3,8,3.88,1.44
1,1150,FTNgaz,5,1,3.5,1.27
1,1150,FTNgaz,5,2,1.97,0
1,1150,FTNgaz,5,3,2.05,0
1,1150,FTNgaz,5,4,2.44,2.44
1,1150,FTNgaz,5,5,3.08,1.42
1,1150,FTNgaz,5,6,2.39,1.92
1,1150,FTNgaz,5,7,2.77,1.94
1,1342,FG,5,1,1.6,0.5
1,1342,FG,5,2,2.5,0
1,1342,FG,5,3,2.6,1.2
1,1342,FG,5,4,2.5,0.7
1,1342,FG,5,5,2.2,0.5
1,1410,FTNcomp,1,1,3.4,0
1,1450,FTNcomp,6,1,1.67,0.95
1,1450,FTNcomp,6,2,2.16,1.14
1,1613,FJ,1,1,3.03,0.89
1,1613,FJ,1,2,5.29,1.6
1,1613,FJ,1,3,2.44,0.89
1,1613,FJ,1,4,4.4,2.15
1,1613,FJ,1,5,3.79,2.34
2,917,FTNgaz,3,1,2.75,1.21
2,917,FTNgaz,3,2,2.09,1.15
2,917,FTNgaz,3,3,2.23,2.23
2,917,FTNgaz,3,4,1.53,0.61
2,917,FTNgaz,3,5,2.04,0.86
2,1011,FTNsif,4,1,5.5,3.5
2,1020,FTNcomp,3,1,2,1.6
2,1020,FTNcomp,3,2,4.8,2.4
2,1020,FTNcomp,3,3,3.5,1.5
2,1350,FTNcomp,1,1,2.22,0.49
2,1350,FTNcomp,1,2,1.63,0.51
2,1350,FTNcomp,1,3,2.23,0
2,1530,FTNgaz,3,1,4.5,2.5
2,1530,FTNgaz,3,2,4,2
2,1530,FTNgaz,3,3,3.8,1.6
2,1530,FTNgaz,3,4,3.3,2
2,1530,FTNgaz,3,5,5.72,1.98
3,948,FTNsif,6,1,7,4.1
3,948,FTNsif,6,2,4.1,3.9
3,948,FTNsif,6,3,6.4,2.4
3,948,FTNsif,6,4,3,1.3
3,948,FTNsif,6,5,2.2,0.9
3,948,FTNsif,6,6,3.4,2.9
3,1027,FTNgaz,4,1,2.91,0.81
3,1355,FTNgaz,3,1,1.78,0.52
3,1355,FTNgaz,3,2,1.46,0.54
3,1355,FTNgaz,3,3,1.53,0.51
4,742,FTNgaz,2,1,3.78,2.5
4,742,FTNgaz,2,2,2.32,0.87
4,742,FTNgaz,2,3,4.01,2.11
4,810,FTNcomp,6,1,2.97,1.08
4,810,FTNcomp,6,2,2.09,1.52
4,810,FTNcomp,6,3,2.29,1.27
4,810,FTNcomp,6,4,2.36,2.36
4,810,FTNcomp,6,5,3.02,1.39
4,836,FTNsif,3,1,2.06,0
4,836,FTNsif,3,2,2.22,0
4,853,FTNsif,1,1,1.75,1.47
4,1259,FTNsif,3,1,4.37,1.15
4,1259,FTNsif,3,2,5.18,1.55
4,1259,FTNsif,3,3,5.37,1.22
4,1259,FTNsif,3,4,6.1,1.38
4,1500,FTNgaz,2,1,2.74,1.24
4,1538,FTNcomp,5,1,2.8,1
