JOUR,HEURE,ID_MALE,VU,DIFFUSION,DIFFUSION_SOUS_TYPE,SESSION_DIFF,SESSION_TYPE,SESSION_SOUS_TYPE,STROPHES_AVANT,DISTANCE_MIN,LATENCE,STROPHES_APRES,CRIS,SURVOLS,FEMELLE,PUBLIC,TEMPERATURE,VENT_MOY,VENT_MAX,PLUIE,ENSOLEILLEMENT,MEMO
1,743,1,0,FTNsif,3,1,1,1,0,2,12,3,14,3,0,9,11,2,6.4,0,21,
1,759,2,0,TN,4,1,1,1,5,2,12,1,0,1,1,1,11,2,6.4,0,21,
1,807,3,1,TN,1,1,1,1,7,5,10,1,52,1,0,0,10.9,3,9.7,0,37,survolinitial
1,817,4,0,FJ,3,1,1,1,0,2,14,2,0,1,1,0,10.9,3,9.7,0,37,restepresdelasourcesonore
1,828,5,1,FJ,3,1,1,1,4,10,8,3,205,0,0,3,10.9,3,9.7,0,37,
1,840,6,0,FTNsif,1,1,1,1,2,10,94,5,12,0,1,0,11.3,3,12.9,0,134,survolfemelle
1,900,1,1,FJ,1,2,1,1,4,2,14,9,0,1,0,2,11.3,3,16.1,0,301,bcpchante(gazouillis)
1,909,2,1,FTNsif,3,2,1,1,1,5,12,5,10,0,1,0,11.9,6,16.1,0,301,reactionfemelle.malesenva
1,917,3,1,FTNsif,4,2,1,1,0,5,43,9,2,0,0,0,11.9,6,16.1,0,301,
1,926,4,1,FTNgaz,4,2,1,1,0,2,6,3,4,1,1,1,11.9,6,16.1,0,301,femelle&malesontvenus.echangesentremales
1,937,5,1,FTNsif,4,2,1,1,0,2,19,7,1,3,1,1,12.7,8,22.5,0,308,
1,948,6,0,FTNgaz,3,2,1,1,0,2,42,0,13,1,1,2,12.7,8,22.5,0,308,
1,1005,1,0,FTNgaz,4,3,1,1,0,5,92,9,0,0,0,1,13.7,10,20.9,0,223,
1,1017,2,0,FTNcomp,1,3,1,1,3,5,54,4,6,0,0,3,13.7,10,20.9,0,223,recre
1,1025,3,0,FTNgaz,2,3,1,1,4,2,17,11,3,3,0,0,13.7,10,20.9,0,223,
1,1034,4,0,FG,2,3,1,1,0,90,180,0,0,0,0,0,14.2,8,22.5,0,536,
