  Jour;Minute AM;ID_male;vu;diff;str_pre;d_min;latence (en s);str_diff;str_post_diff;cris_toto;cris_pre;cris_diff;cris_post;survols;femelle
1;481;1;1;G_2;1;2;35;2;0;34;NA;NA;NA;2;1
1;491;2;0;S_4;12;1;18;5;15;16;NA;NA;NA;2;0
1;501;3;1;T_1;0;3;55;1;1;42;NA;NA;NA;0;1
1;511;4;1;Gr_3;1;2;7;0;0;4;NA;NA;NA;0;1
1;521;5;0;J_2;0;NA;0;0;0;38;NA;NA;NA;0;0
1;537;1;0;T_2;0;2;75;0;13;72;NA;NA;NA;0;1
1;546;2;0;T_4;0;2;17;0;0;5;NA;NA;NA;0;0
1;554;3;0;Gr_4;0;NA;0;0;0;0;NA;NA;NA;0;0
1;564;4;0;G_1;0;2;108;0;2;37;NA;NA;NA;1;0
1;573;5;0;Gr_1;0;3;30;0;0;0;NA;NA;NA;0;1
1;587;1;1;S_1;13;2;5;13;2;26;NA;NA;NA;6;1
1;597;2;0;J_1;0;NA;0;0;10;3;NA;NA;NA;0;0
1;607;3;0;S_1;0;2;40;4;0;50;NA;NA;NA;4;1
1;617;4;1;C_1;0;1;11;11;6;99;23;76;0;2;1
1;626;5;0;C_4;0;2;0;0;0;1;0;0;1;0;0
1;640;1;0;J_3;0;2;90;4;6;9;3;5;1;3;1
1;648;2;1;J_2;4;1;10;4;4;8;0;1;7;4;1
1;666;3;1;J_4;1;2;6;1;0;44;5;34;5;0;1
1;666;4;0;J_3;9;3;0;0;0;0;5;119;5;0;1
1;675;5;0;Gr_3;0;NA;0;0;0;4;2;2;0;0;0
1;748;1;0;T_2;0;NA;0;0;0;0;0;0;0;0;0
1;757;2;0;G_2;0;NA;0;0;8;0;0;0;0;0;0
1;766;3;1;S_4;0;1;22;1;0;58;0;40;18;1;1
1;775;4;0;C_2;0;1;95;0;2;9;0;0;9;3;1
1;785;6;1;T_1;0;2;0;0;0;5;0;0;5;1;0
1;801;1;1;C_4;0;1;15;1;0;1;1;0;0;0;0
1;808;2;0;C_3;0;2;35;2;0;0;0;0;0;0;0
1;817;3;0;C_3;0;1;11;3;0;97;65;32;0;4;1
1;827;4;;J_4;2;NA;0;0;0;0;0;0;0;0;0
1;835;6;;T_2;0;NA;0;0;0;0;0;0;0;0;0
1;850;1;;Gr_1;0;2;60;0;5;0;0;0;31;0;0
1;858;2;;T_1;0;2;0;0;0;31;0;0;0;0;0
1;867;3;;G_2;0;1;88;3;1;0;6;24;19;2;1
1;876;4;;S_1;0;1;72;4;0;49;0;0;0;3;1
1;886;6;;Gr_2;0;1;0;9;10;0;0;5;1;0;0
1;901;1;;G_3;0;2;0;4;1;6;0;0;0;0;0
1;910;2;;J_4;0;NA;0;0;0;0;0;0;0;0;0
1;919;3;;S_2;0;1;67;5;0;0;0;34;0;1;1
1;929;4;;T_3;0;NA;0;0;0;0;0;0;0;0;0
1;938;6;;T_4;0;NA;0;0;0;0;0;0;0;0;0
1;954;1;;T_1;0;NA;0;0;0;0;0;0;0;0;0
1;963;2;;S_1;0;1;9;10;8;0;0;0;0;4;1
1;972;3;;C_1;0;1;33;9;3;5;0;5;0;7;1
1;989;4;;J_1;9;2;120;11;14;0;0;0;0;1;1
1;991;6;;G_3;0;NA;0;0;0;0;0;0;0;0;0
1;1006;1;;Gr_4;0;1;80;4;1;0;0;0;0;2;1
1;1015;2;;C_2;0;1;13;14;10;0;0;0;0;1;0
2;482;3;;Gr_1;0;2;170;0;0;0;0;0;0;0;1
2;492;4;2;Gr_1;0;2;180;0;1;5;0;5;0;0;1
2;503;7;0;T_3;0;NA;0;0;0;0;0;0;0;0;0
2;513;1;2;J_4;0;2;30;0;0;0;0;0;0;0;1
2;525;2;0;T_3;0;NA;0;0;0;0;0;0;0;0;0
2;535;3;0;G_4;0;NA;0;0;0;0;0;0;0;0;0
2;543;4;2;S_3;0;1;72;0;0;133;0;0;133;0;1
2;552;7;1;S_2;0;2;207;0;1;0;0;0;0;0;0
2;567;1;2;C_1;0;1;16;7;1;2;0;0;2;2;1
2;574;2;1;G_3;0;NA;0;0;0;0;0;0;0;0;1
2;583;3;2;J_2;0;2;81;9;5;5;0;0;5;1;1
2;593;4;0;T_2;0;NA;0;0;0;0;0;0;0;0;0
2;602;7;1;S_4;8;1;5;8;10;5;0;5;0;4;0
2;617;1;1;J_2;3;2;20;11;2;0;0;0;0;0;0
2;625;2;1;S_3;6;1;1;14;8;0;0;0;0;1;0
2;633;3;1;Gr_2;1;2;0;5;0;0;0;0;0;0;0
2;643;4;0;C_4;0;NA;0;0;0;17;0;0;17;0;0
2;652;7;1;C_3;0;1;19;7;3;24;0;0;24;3;0
2;667;1;1;S_4;1;2;71;6;0;0;0;0;0;0;0
2;674;2;0;G_4;0;NA;0;0;0;0;0;0;0;0;0
2;683;3;2;G_1;2;1;14;1;2;0;0;0;0;1;1
2;762;4;1;T_4;0;2;0;0;1;0;0;0;0;0;0
2;771;7;0;Gr_4;0;NA;0;0;0;20;0;20;0;0;0
2;811;1;1;S_3;0;2;13;1;2;0;0;0;0;1;1
2;819;2;1;S_2;0;3;50;12;8;0;0;0;0;0;0
2;828;3;1;J_1;7;3;106;17;15;241;241;0;0;0;0
2;839;4;1;S_2;0;2;210;0;2;84;0;0;84;0;1
2;848;7;1;S_1;0;3;28;12;3;0;0;0;0;0;0
2;864;1;0;T_4;0;NA;0;0;0;0;0;0;0;0;0
2;872;2;1;C_1;0;2;110;3;1;7;0;5;2;1;1
2;882;3;1;J_3;0;1;120;9;6;0;0;0;0;2;0
2;892;4;1;Gr_2;0;2;113;0;0;0;0;0;0;1;0
2;902;7;1;G_2;0;2;95;0;0;1;0;1;0;2;0
2;918;1;0;J_1;0;NA;0;0;0;0;0;0;0;0;0
2;926;2;1;Gr_2;0;3;0;0;4;0;0;0;0;0;0
2;934;3;0;T_2;0;NA;0;0;0;0;0;0;0;0;0
2;944;4;1;C_3;0;2;76;0;0;0;0;0;0;1;0
2;954;7;1;J_3;0;1;14;8;18;0;0;0;0;1;1
2;970;1;0;C_3;0;NA;0;0;0;0;0;0;0;0;0
