dh_utc;temperature;pression;pression_variation_3h;humidite;point_de_rosee;visibilite;vent_moyen;vent_rafales;vent_rafales_10min;vent_direction;temperature_min;temperature_max;pluie_1h;pluie_3h;pluie_6h;pluie_12h;pluie_24h;pluie_cumul_0h;pluie_intensite;pluie_intensite_max_1h;uv;uv_index;ensoleillement;temperature_sol
YYYY-MM-DD hh:mm:ss;°C;hPa;hPa;%;°C;m;km/h;km/h;km/h;deg;°C;°C;mm;mm;mm;mm;mm;mm;mm/h;mm/h;W/m²;UV Index;hours;°C
14/04/2025 00:00;12.9;1009.9;;93;11.7;;4.8;;9.7;180;12.9;13.6;0;;1.2;1.2;1.2;0;0;0;0;0;;
14/04/2025 00:10;12.9;1009.8;;93;11.7;;4.8;;12.9;187;12.9;13.6;;;;;;0;0;0;0;0;;
14/04/2025 00:20;12.9;1009.9;;93;11.7;;6.4;;11.3;192;12.9;13.6;;;;;;0;0;0;0;0;;
14/04/2025 00:30;12.9;1009.7;;92;11.7;;3.2;;12.9;196;12.9;13.6;;;;;;0;0;0;0;0;;
14/04/2025 00:40;12.8;1009.6;;92;11.7;;4.8;;9.7;201;12.8;13.6;;;;;;0;0;0;0;0;;
14/04/2025 00:50;12.9;1009.4;;92;11.7;;3.2;;9.7;194;12.8;13.6;;;;;;0;0;0;0;0;;
14/04/2025 01:00;12.9;1009.4;;92;11.7;;4.8;;9.7;210;12.8;13.6;0;;0.2;1.2;1.2;0;0;0;0;0;;
14/04/2025 01:10;13;1009.4;;92;11.7;;3.2;;9.7;208;12.8;13.6;;;;;;0;0;0;0;0;;
14/04/2025 01:20;12.9;1009.3;;92;11.7;;3.2;;6.4;144;12.8;13.6;;;;;;0;0;0;0;0;;
14/04/2025 01:30;12.9;1009.3;;92;11.7;;3.2;;6.4;191;12.8;13.6;;;;;;0;0;0;0;0;;
14/04/2025 01:40;12.9;1009.3;;92;11.7;;1.6;;4.8;191;12.8;13.6;;;;;;0;0;0;0;0;;
14/04/2025 01:50;12.9;1009.4;;92;11.7;;3.2;;6.4;149;12.8;13.6;;;;;;0.3;0;0;0;0;;
14/04/2025 02:00;12.9;1009.4;;92;11.7;;4.8;;11.3;119;12.8;13.6;0.3;0.3;0.3;1.5;1.5;0.3;0;0;0;0;;
14/04/2025 02:10;12.9;1009.3;;91;11.7;;3.2;;6.4;183;12.8;13.6;;;;;;0.3;0;0;0;0;;
14/04/2025 02:20;12.9;1009.3;;91;11.7;;3.2;;8;194;12.8;13.6;;;;;;0.3;0;0;0;0;;
14/04/2025 02:30;12.9;1009.3;;91;11.7;;4.8;;8;165;12.8;13.6;;;;;;0.3;0;0;0;0;;
14/04/2025 02:40;12.9;1009.2;;91;11.7;;1.6;;8;95;12.8;13.6;;;;;;0.3;0;0;0;0;;
14/04/2025 02:50;12.9;1009.2;;91;11.7;;1.6;;6.4;115;12.8;13.6;;;;;;0.3;0;0;0;0;;
14/04/2025 03:00;12.9;1009.2;-0.7;91;11.7;;3.2;;9.7;198;12.8;13.6;0;0.3;0.3;1.5;1.5;0.3;0;0;0;0;;
14/04/2025 03:10;12.9;1009.2;-0.7;91;11.7;;3.2;;8;180;12.8;13.6;;;;;;0.3;0;0;0;0;;
14/04/2025 03:20;12.9;1009.1;-0.8;91;11.7;;3.2;;6.4;230;12.8;13.6;;;;;;0.3;0;0;0;0;;
14/04/2025 03:30;12.8;1009;-0.9;91;11.7;;1.6;;8;237;12.8;13.6;;;;;;0.3;0;0;0;0;;
14/04/2025 03:40;12.7;1009;-0.9;91;11.1;;3.2;;6.4;212;12.7;13.6;;;;;;0.3;0;0;0;0;;
