"","Rlitiere","RsolNu","Rroche","Rmousses","Rarbustif","Rarbore","Pente","Exp_N","Alt"
"Hedera_helix",55.3201219512195,32.6117886178862,0.0457317073170732,1.59095528455285,43.953506097561,47.4570630081301,24.2748983739837,142.373983739837,228.208084349593
"Ruscus_aculeatus",62.4339933993399,28.036303630363,0.312706270627063,5.37293729372937,84.1914191419142,0.321782178217822,42.3572607260726,208.562706270627,264.857260726073
"Hieracium_glaucinum",84.9307479224377,2.49861495844875,0.00831024930747922,3.76731301939058,45.0138504155125,34.9030470914127,44.9778393351801,132.742382271468,258.013988919668
"Carpinus_betulus",57.7855477855478,24.993006993007,0.20979020979021,2.53613053613054,19.7715617715618,57.8787878787879,23.2855477855478,170.206526806527,198.401328671329
"Alaria_petiolata",33.1111111111111,42.6410256410256,0.064957264957265,1.93675213675214,39.5213675213675,34.1547008547009,26.0196581196581,150.613675213675,225.829829059829
"Valeriana_locusta",69.8342541436464,30,0.0110497237569061,9.97237569060773,59.8895027624309,0,46.0386740331492,201.132596685083,266.275966850829
"Stellaria_holostea",76.8489208633093,15.0575539568345,1.30215827338129,3.17194244604317,50.8201438848921,30.158273381295,42.9460431654676,85.7669064748201,258.65928057554
"spp_indet_crassulaceae",40,30,2,5,45,2.5,53,45,252.95
"Dioscorea_communis",65.3678474114441,25.408719346049,0.861035422343324,2.40258855585831,52.0980926430518,42.0640326975477,45.0653950953678,121.013623978202,256.117983651226
"Cytisus_scoparius",49.0082644628099,23.2851239669421,1.87190082644628,5.00826446280992,46.2396694214876,10.0826446280992,44.801652892562,102.396694214876,256.165867768595
"Quercus_petraea",92.3633633633634,5.82882882882883,0.162162162162162,4.61711711711712,10.5076576576577,53.6067567567568,37.5840840840841,135.075255255255,222.778843843844
"Quercus_pubescens",53.491773308958,26.5575868372943,1.01828153564899,11.7751371115174,43.5100548446069,0.155393053016453,51.254113345521,133.786106032907,247.041023765996
"Hypericum_sp",40,30,2,5,49.9447513812155,4.97237569060773,53,45,252.95
"Teucrium_scorodonia",56.8979464841319,24.5429371499689,1.38270068450529,10.4769757311761,38.3450528935905,21.7100186683261,49.4131922837586,149.121344119477,247.173192283759
"Fraxinus_excelsior",14.4504021447721,77.941018766756,0.00804289544235925,0.600536193029491,25.0415549597855,40.2144772117962,2.02412868632708,87.0820375335121,194.812278820375
"Veronica_hederifolia",40.0831024930748,30,1.99445983379501,5.01385041551247,45.0415512465374,2.49307479224377,52.9806094182825,45.4349030470914,252.987119113573
"Deschampsia_flexuosa",87.8870431893688,3.50830564784053,0.817275747508306,6.98006644518272,12.2956810631229,39.8737541528239,42.287707641196,105.604651162791,237.014591362126
"Festuca_sp",61.4342629482072,17.9721115537849,1.9601593625498,6.47509960159363,55.2191235059761,1.79282868525896,44.9482071713147,144.282868525896,259.285059760956
"spp_indet_poaceae",74.9438202247191,16.3916532905297,2.11556982343499,3.5024077046549,45.2656500802568,22.7447833065811,47.2118780096308,107.431781701445,256.344317817014
"Crataegus_sp",89.027027027027,5.89189189189189,0.0459459459459459,2.02162162162162,59.7837837837838,59.3513513513514,42.0540540540541,139.27027027027,256.077567567568
"Prunus_sp",50.1621621621622,29.9459459459459,0.513513513513513,1.09189189189189,30.3243243243243,58.9216216216216,41.7675675675676,138.637837837838,254.932162162162
"Rubus_sp",76.8072289156626,12.6393072289157,0.00188253012048193,3.14006024096386,52.3757530120482,33.4375,15.2074548192771,173.280346385542,239.050986445783
"Galium_aparine",71.7290609137056,12.988578680203,2.25888324873096,5.05647208121827,55.2791878172589,13.2921954314721,40.0368020304569,139.819352791878,261.142506345178
