Gd_Placette,Placette ,Quadrat,Litière,Sol Nu,Roche,Mousse,Herbacé,Arbustif,Arboré,Exposition approx,Position_pente,Exposition,
P1,P1_1,Q1,6,0,0,3,4,3,6,N,HDP,,350
P1,P1_1,Q2,5,0,0,3,5,4,0,N,HDP,,330
P1,P1_1,Q3,6,0,0,2,2,5,6,N,HDP,,300
P1,P1_1,Q4,5,0,1,1,4,3,0,N,HDP,,310
P1,P1_1,Q5,5,0,0,1,4,5,0,N,HDP,,325
P1,P1_2,Q1,6,2,1,1,2,4,6,N,HDP,,20
P1,P1_2,Q2,5,0,0,3,4,3,0,N,HDP,,180
P1,P1_2,Q3,5,4,1,2,2,0,0,N,HDP,,180
P1,P1_2,Q4,6,0,0,1,1,0,0,N,HDP,,175
P1,P1_2,Q5,6,0,0,0,4,2,0,N,HDP,,238
P2,P2_1,Q1,6,0,0,3,3,5,0,N,MDP,,170
P2,P2_1,Q2,5,1,0,3,4,4,0,N,MDP,,160
P2,P2_1,Q3,5,0,0,2,0,0,0,N,MDP,,335
P2,P2_1,Q4,6,0,0,1,3,2,6,N,MDP,,18
P2,P2_1,Q5,6,0,0,3,4,4,0,N,MDP,,30
P2,P2_2,Q1,6,0,0,1,3,6,0,N,MDP,,47
P2,P2_2,Q2,6,1,0,3,3,5,6,N,MDP,,165
P2,P2_2,Q3,5,1,0,2,4,6,0,N,MDP,,160
P2,P2_2,Q4,6,0,0,1,5,3,6,N,MDP,,61
P2,P2_2,Q5,6,1,0,3,5,5,5,N,MDP,,50
P3,P3_1,Q1,3,0,0,0,6,1,6,N,BDP,,205
P3,P3_1,Q2,5,3,0,3,5,0,6,N,BDP,,220
P3,P3_1,Q3,2,0,0,0,6,3,6,N,BDP,,100
P3,P3_1,Q4,5,2,0,0,5,4,3,N,BDP,,68
P3,P3_1,Q5,5,1,0,1,5,4,4,N,BDP,,0
P3,P3_2,Q1,5,3,0,3,6,6,4,N,BDP,,329
P3,P3_2,Q2,3,2,0,3,6,5,4,N,BDP,,130
P3,P3_2,Q3,4,2,0,0,6,6,6,N,BDP,,165
P3,P3_2,Q4,6,0,0,2,5,6,2,N,BDP,,150
P3,P3_2,Q5,5,1,0,1,5,6,4,N,BDP,,130
P4,P4_1,Q1,4,0,0,0,6,6,6,S,BDP,,
P4,P4_1,Q2,4,0,0,0,6,3,6,S,BDP,,
P4,P4_1,Q3,4,0,0,1,6,1,5,S,BDP,,
P4,P4_1,Q4,3,0,0,0,6,3,6,S,BDP,,
P4,P4_1,Q5,4,0,0,0,6,3,6,S,BDP,,
P4,P4_2,Q1,4,2,0,0,5,2,6,S,BDP,,
P4,P4_2,Q2,4,2,0,0,6,5,6,S,BDP,,
P4,P4_2,Q3,4,2,0,1,6,3,6,S,BDP,,
P4,P4_2,Q4,4,2,3,1,6,6,6,S,BDP,,
P5,P4_2,Q5,4,2,0,1,6,6,6,S,BDP,,
P5,P5_1,Q1,5,0,0,1,4,6,5,S,MDP,,
P5,P5_1,Q2,4,3,3,3,5,2,3,S,MDP,,
P5,P5_1,Q3,4,0,0,0,6,4,4,S,MDP,,
P5,P5_1,Q4,5,1,0,0,6,5,0,S,MDP,,
P5,P5_1,Q5,5,2,3,2,5,2,5,S,MDP,,
P5,P5_2,Q1,5,2,2,3,5,6,6,S,MDP,,
P5,P5_2,Q2,4,1,0,1,6,6,5,S,MDP,,
P5,P5_2,Q3,3,4,1,2,6,6,6,S,MDP,,
P5,P5_2,Q4,5,1,4,3,6,6,6,S,MDP,,
P5,P5_2,Q5,5,2,1,2,6,6,2,S,MDP,,
P6,P6_1,Q1,5,2,1,1,4,4,6,S,HDP,,
P6,P6_1,Q2,6,1,0,2,4,4,6,S,HDP,,
P6,P6_1,Q3,6,0,0,1,5,3,6,S,HDP,,
P6,P6_1,Q4,5,2,0,3,4,4,6,S,HDP,,
P6,P6_1,Q5,3,3,1,1,2,6,5,S,HDP,,
P6,P6_2,Q1,6,1,0,0,3,5,6,S,HDP,,
P6,P6_2,Q2,6,0,0,2,5,4,6,S,HDP,,
P6,P6_2,Q3,5,0,0,1,5,5,4,S,HDP,,
P6,P6_2,Q4,5,2,0,1,4,5,4,S,HDP,,
P6,P6_2,Q5,5,0,0,1,5,4,6,S,HDP,,
P7,P7_1,Q1,4,2,0,1,6,4,6,N,HDP,,
P7,P7_1,Q2,4,0,0,2,5,6,5,N,HDP,,
P7,P7_1,Q3,4,2,0,1,6,4,6,N,HDP,,
P7,P7_1,Q4,4,0,0,1,6,0,3,N,HDP,,
P7,P7_1,Q5,4,0,0,1,6,0,6,N,HDP,,
P7,P7_2,Q1,4,3,0,2,5,4,6,N,HDP,,
P7,P7_2,Q2,6,0,0,3,4,6,0,N,HDP,,
P7,P7_2,Q3,4,3,0,1,6,4,6,N,HDP,,
P7,P7_2,Q4,4,0,0,1,6,6,6,N,HDP,,
P7,P7_2,Q5,5,1,0,0,5,5,6,N,HDP,,
P8,P8_1,Q1,6,1,0,0,5,5,6,N,MDP,,
P8,P8_1,Q2,4,0,0,0,5,4,5,N,MDP,,
P8,P8_1,Q3,6,1,0,1,6,1,6,N,MDP,,
P8,P8_1,Q4,4,0,0,1,5,4,6,N,MDP,,
P8,P8_1,Q5,6,1,0,1,5,1,6,N,MDP,,
P8,P8_2,Q1,1,2,0,4,2,6,6,N,MDP,,
P8,P8_2,Q2,5,1,0,2,5,4,6,N,MDP,,
P8,P8_2,Q3,5,2,0,3,5,5,6,N,MDP,,
P8,P8_2,Q4,4,4,0,3,5,6,6,N,MDP,,
P8,P8_2,Q5,5,3,0,3,3,6,6,N,MDP,,
P9,P9_1,Q1,5,0,0,0,6,6,4,S,BDP,,
P9,P9_1,Q2,5,0,0,1,6,4,6,S,BDP,,
P9,P9_1,Q3,3,4,0,0,6,2,6,S,BDP,,
P9,P9_1,Q4,4,1,0,1,5,4,6,S,BDP,,
P9,P9_1,Q5,4,2,0,3,6,5,6,S,BDP,,
P9,P9_2,Q1,4,0,4,4,5,3,6,S,BDP,,
P9,P9_2,Q2,3,4,3,3,4,2,6,S,BDP,,
P9,P9_2,Q3,4,2,2,2,6,0,6,S,BDP,,
P9,P9_2,Q4,4,3,3,1,6,6,6,S,BDP,,
P9,P9_2,Q5,5,1,1,2,5,4,6,S,BDP,,
P10,P10_1,Q1,5,3,0,0,6,1,6,N,BDP,,
P10,P10_1,Q2,5,3,0,1,1,4,6,N,BDP,,
P10,P10_1,Q3,4,0,0,2,6,4,6,N,BDP,,
P10,P10_1,Q4,4,0,0,3,6,5,6,N,BDP,,
P10,P10_1,Q5,5,3,0,1,6,4,6,N,BDP,,
P10,P10_2,Q1,6,0,0,2,6,1,6,N,BDP,,
P10,P10_2,Q2,6,2,0,1,5,4,6,N,BDP,,
P10,P10_2,Q3,4,2,0,2,6,4,5,N,BDP,,
P10,P10_2,Q4,4,1,0,0,6,6,3,N,BDP,,
P10,P10_2,Q5,4,0,3,2,6,0,6,N,BDP,,
P11,P11_1,Q1,5,0,0,2,5,5,3,S,MDP,,
P11,P11_1,Q2,4,1,0,2,6,2,5,S,MDP,,
P11,P11_1,Q3,3,0,0,0,6,4,4,S,MDP,,
P11,P11_1,Q4,4,3,0,3,6,6,6,S,MDP,,
P11,P11_1,Q5,4,3,0,0,5,3,4,S,MDP,,
P11,P11_2,Q1,5,2,0,0,6,6,5,S,MDP,,
P11,P11_2,Q2,6,0,0,0,5,3,6,S,MDP,,
P11,P11_2,Q3,5,0,0,2,6,3,6,S,MDP,,
P11,P11_2,Q4,6,0,0,0,5,6,4,S,MDP,,
P11,P11_2,Q5,6,1,0,1,5,5,2,S,MDP,,
P12,P12_1,Q1,6,0,0,1,4,0,6,S,HDP,,
P12,P12_1,Q2,6,0,0,0,4,4,6,S,HDP,,
P12,P12_1,Q3,6,0,0,2,3,6,6,S,HDP,,
P12,P12_1,Q4,6,1,1,2,4,6,6,S,HDP,,
P12,P12_1,Q5,6,0,2,0,4,6,6,S,HDP,,
P12,P12_2,Q1,5,0,0,0,5,5,6,S,HDP,,
P12,P12_2,Q2,6,0,0,0,5,4,6,S,HDP,,
P12,P12_2,Q3,6,0,0,1,0,6,4,S,HDP,,
P12,P12_2,Q4,5,0,0,2,5,5,6,S,HDP,,
P12,P12_2,Q5,6,2,0,2,4,5,3,S,HDP,,
P14,P14_1,Q1,5,0,0,3,6,0,6,N,MDP,,
P14,P14_1,Q2,6,0,0,3,4,5,6,N,MDP,,
P14,P14_1,Q3,5,0,0,2,4,3,5,N,MDP,,
P14,P14_1,Q4,5,0,0,4,4,3,6,N,MDP,,
P14,P14_1,Q5,6,0,0,2,5,0,6,N,MDP,,
P14,P14_2,Q1,6,2,0,3,1,0,6,N,MDP,,
P14,P14_2,Q2,6,0,0,2,1,0,6,N,MDP,,
P14,P14_2,Q3,6,2,0,2,3,0,6,N,MDP,,
P14,P14_2,Q4,5,4,0,3,1,0,6,N,MDP,,
P14,P14_2,Q5,6,0,0,3,3,0,6,N,MDP,,
P16,P16_1,Q1,5,4,3,3,4,6,5,S,BDP,,
P16,P16_1,Q2,6,1,0,1,5,2,6,S,BDP,,
P16,P16_1,Q3,5,2,0,2,3,6,3,S,BDP,,
P16,P16_1,Q4,5,3,0,4,4,5,5,S,BDP,,
P16,P16_1,Q5,6,0,0,3,2,6,4,S,BDP,,
P16,P16_2,Q1,3,0,0,1,6,4,4,S,BDP,,
P16,P16_2,Q2,5,1,0,3,6,5,6,S,BDP,,
P16,P16_2,Q3,4,3,0,1,6,4,6,S,BDP,,
P16,P16_2,Q4,4,0,0,3,5,5,6,S,BDP,,
P16,P16_2,Q5,4,1,0,1,6,2,6,S,BDP,,
P17,P17_1,Q1,4,2,0,0,6,3,4,S,MDP,,
P17,P17_1,Q2,4,3,1,3,4,3,6,S,MDP,,
P17,P17_1,Q3,6,0,1,1,5,0,6,S,MDP,,
P17,P17_1,Q4,4,3,1,3,5,5,6,S,MDP,,
P17,P17_1,Q5,4,2,0,5,4,4,6,S,MDP,,
P17,P17_2,Q1,4,2,0,2,1,6,5,S,MDP,,
P17,P17_2,Q2,3,4,3,4,2,6,6,S,MDP,,
P17,P17_2,Q3,5,3,0,4,5,6,6,S,MDP,,
P17,P17_2,Q4,4,1,0,4,5,4,4,S,MDP,,
P17,P17_2,Q5,4,0,0,4,5,6,6,S,MDP,,
